title,price,rating,reviews,availability,image,url
"Gigabyte GeForce RTX 4080 Gaming OC 16G Graphics Card, 3X WINDFORCE Fans, 16GB 256-bit GDDR6X, GV-N4080GAMING OC-16GD Video Card","1,182.",4.7 out of 5 stars,77 ratings,In Stock,https://m.media-amazon.com/images/I/71Z9svUyd2L._AC_SX425_.jpg,https://www.amazon.com/Gigabyte-Graphics-WINDFORCE-GV-N4080GAMING-OC-16GD/dp/B0BMN5J1XJ/ref=sr_1_1?keywords=rtx+4080&qid=1689282686&sr=8-1
"ASUS TUF Gaming GeForce RTX® 4080 Graphics Card (PCIe 4.0, 16GB GDDR6X, HDMI 2.1a, DisplayPort 1.4a)","1,199.",4.6 out of 5 stars,322 ratings,In Stock,https://m.media-amazon.com/images/I/817PMNoKfXL._AC_SX569_.jpg,https://www.amazon.com/ASUS-Gaming-GeForce-Graphics-DisplayPort/dp/B0BLGHRCLX/ref=sr_1_2?keywords=rtx+4080&qid=1689282686&sr=8-2
MSI Gaming GeForce RTX 4080 16GB GDRR6X 384-Bit HDMI/DP Nvlink Tri-Frozr 3 Ada Lovelace Architecture Graphics Card (Gaming X Trio),,4.5 out of 5 stars,98 ratings,,https://m.media-amazon.com/images/I/71kWtif0f-L._AC_SX679_.jpg,https://www.amazon.com/MSI-Tri-Frozr-Lovelace-Architecture-Graphics/dp/B0BL668N1X/ref=sr_1_3?keywords=rtx+4080&qid=1689282686&sr=8-3
"ASUS ROG Strix GeForce RTX® 4080 OC Edition Gaming Graphics Card (PCIe 4.0, 16GB GDDR6X, HDMI 2.1a, DisplayPort 1.4a)","1,359.",4.3 out of 5 stars,43 ratings,In Stock,https://m.media-amazon.com/images/I/51hXn5EhyKL._AC_SY450_.jpg,https://www.amazon.com/ASUS-GeForce-Gaming-Graphics-DisplayPort/dp/B0BLFTWYLZ/ref=sr_1_4?keywords=rtx+4080&qid=1689282686&sr=8-4
"ZOTAC Gaming GeForce RTX 4080 16GB AMP Extreme AIRO GDDR6X 256-bit 22.4 Gbps PCIE 4.0 Graphics Card, IceStorm 2.0 Advanced Cooling, Spectra 2.0 RGB Lighting, ZT-D40810B-10P","1,199.",4.5 out of 5 stars,61 ratings,In Stock,https://m.media-amazon.com/images/I/81RTaCvV3yL._AC_SX466_.jpg,https://www.amazon.com/ZOTAC-Graphics-IceStorm-Advanced-ZT-D40810B-10P/dp/B0BKK3RFT6/ref=sr_1_5?keywords=rtx+4080&qid=1689282686&sr=8-5
"Gigabyte GeForce RTX 4080 16GB AERO OC Graphics Card, 3X WINDFORCE Fans, 16GB 256-bit GDDR6X, GV-N4080AERO OC-16GD Video Card","1,259.",4.5 out of 5 stars,27 ratings,In Stock,https://m.media-amazon.com/images/I/717EyF85bOL._AC_SX355_.jpg,https://www.amazon.com/Gigabyte-Graphics-WINDFORCE-GV-N4080AERO-OC-16GD/dp/B0BNWJ6WTQ/ref=sr_1_6?keywords=rtx+4080&qid=1689282686&sr=8-6
"Gigabyte GeForce RTX 4080 Eagle 16G Graphics Card, 3X WINDFORCE Fans, 16GB 256-bit GDDR6X, GV-N4080EAGLE-16GD Video Card","1,139.",4.4 out of 5 stars,8 ratings,In Stock,https://m.media-amazon.com/images/I/71Mu4TGPbDL._AC_SX522_.jpg,https://www.amazon.com/Gigabyte-GeForce-Graphics-WINDFORCE-GV-N4080EAGLE-16GD/dp/B0BMN3S3RK/ref=sr_1_7?keywords=rtx+4080&qid=1689282686&sr=8-7
PNY GeForce RTX™ 4080 16GB Verto Triple Fan Graphics Card DLSS 3,28.,4.5 out of 5 stars,124 ratings,,https://m.media-amazon.com/images/I/61pbe4Kqx4L._AC_SX425_.jpg,https://www.amazon.com/PNY-GeForce-RTXTM-4080-Triple-Graphics/dp/B0BKGWJRFF/ref=sr_1_8?keywords=rtx+4080&qid=1689282686&sr=8-8
"ZOTAC Gaming GeForce RTX 4080 16GB Trinity OC GDDR6X 256-bit 22.4 Gbps PCIE 4.0 Graphics Card, IceStorm 2.0 Advanced Cooling, Spectra 2.0 RGB Lighting, ZT-D40810J-10P","1,189.",4.3 out of 5 stars,72 ratings,,https://m.media-amazon.com/images/I/819pla7Wo3L._AC_SX466_.jpg,https://www.amazon.com/ZOTAC-Graphics-IceStorm-Advanced-ZT-D40810J-10P/dp/B0BKK371SB/ref=sr_1_9?keywords=rtx+4080&qid=1689282686&sr=8-9
MSI Gaming GeForce RTX 4080 16GB GDRR6X 384-Bit HDMI/DP Nvlink Tri-Frozr 3 Ada Lovelace Architecture Graphics Card (RTX 4080 16GB SUPRIM),"1,389.",Previous page,,In Stock,https://m.media-amazon.com/images/I/51JLVipRzdL._AC_SX450_.jpg,https://www.amazon.com/MSI-RTX-4080-16GB-SUPRIM/dp/B0C5B7WF98/ref=sr_1_10?keywords=rtx+4080&qid=1689282686&sr=8-10
